Date,Site,"Station
Depth
(m)","Sample
Depth
(m)",Sample Depth (category),Time,"Latitude
(decimal degrees)","Longitude
(decimal degrees)",Sky,"Secchi
Depth
(m)","CTD Temperature
(°C)","CTD Specific Conductivity
(µS/cm)","CTD Beam Attenuation
(m-1)","CTD Transmission
(%)","CTD Dissolved Oxygen
(mg/L)","CTD Photosynthetically Active Radiation
(µE/m2/s)","Turbidity
(NTU)","Particulate
Microcystin
(µg/L)","Dissolved
Microcystin
(µg/L)","Extracted
Phycocyanin
(µg/L)","Extracted
Chlorophyll ?
(µg/L)",Total Phosphorus (µg/L),Total Dissolved Phosphorus (µg/L),Soluble Reactive Phosphorus (µg/L),Ammonia (µg/L),Nitrate + Nitrite (mg/L),Urea (µg/L),Particulate Organic Carbon (mg/L),Particulate Organic Nitrogen (mg/L),Dissolved Organic Carbon (mg/L),Colored Dissolved Organic Material absorbance (m-1) at 400nm ,Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L)
6/7/2012,SB1,3,0.75,Surface,10:45,43.64,-83.6614,clear,2.5,18.7,,,,,,,<0.1,,0.34,2.06,11.43,5.58,0.33,14,6.327,,0.359,0.05,6.03,,2.58,0.85
6/7/2012,SB2,3.1,0.75,Surface,11:18,43.6672,-83.8045,,1.3,19.6,609.2,3.3,43.4,7.95,216,,<0.1,,0.49,9.73,36.23,16.95,4.88,81.57,11.69,,0.849,0.131,8.96,,6.17,1.57
6/7/2012,SB5,2.8,0.75,Surface,12:10,43.8955,-83.8606,clear,2.8,18.3,344.1,0.4,90.2,8,217,,<0.1,,0.29,0.56,8.03,4.04,<0.25,24.49,1.3,,0.17,0.023,3.66,,1.03,0.29
6/7/2012,SB14,3.5,0.75,Surface,10:13,43.7377,-83.6411,clear,2.5,18.2,392.8,1.4,70.5,8.5,114,,<0.1,,1.27,4.57,10.85,4.5,0.37,3.38,2.307,,0.775,0.091,5.1,,3.43,1.52
8/2/2012,SB1,3.1,0.75,Surface,10:39,43.64,-83.6599,cloudy,0.7,24.3,343.2,6.5,19.9,7.92,127,,0.91,,3.2,13.63,22.97,2.72,0.5,1.2,0.388,,2.438,0.378,5.4,,18.3,9.7
8/2/2012,SB2,3.1,0.75,Surface,10:05,43.6673,-83.806,cloudy,0.9,24.1,305.1,3.8,38.3,7.67,112,,0.27,,19.75,25.11,43.39,4.68,0.76,7.37,0.262,,3.722,0.373,5.05,,13.33,6.5
8/2/2012,SB5,3,0.75,Surface,11:53,43.8952,-83.8595,mostly sunny,1.1,24.4,287.2,2.5,53.5,7.92,551,,0.68,,2.63,11.28,19.07,2.35,0.51,0.93,0.394,,2.463,0.335,5.27,,11.93,7.57
8/2/2012,SB14,3.3,0.75,Surface,10:58,43.7379,-83.6394,cloudy,0.7,24,367.9,4,36.4,7.98,196,,1.01,,10.13,25.71,22.77,2.22,0.67,0.84,0.405,,5.205,0.539,4.51,,26.7,13.2
8/30/2012,SB1,3.8,0.75,Surface,8:18,43.6406,-83.6607,sunny,0.7,23,327.2,6.2,21.4,7.98,532,,1.73,,12.97,25.79,20.69,3.29,0.51,6,1.5,,3.409,0.451,5.68,,14.7,8.07
8/30/2012,SB2,4,0.75,Surface,7:55,43.6679,-83.8067,sunny,0.9,22.8,405.8,5.6,24.5,7.94,166,,0.42,,7.94,14.97,20.89,3.11,0.34,6.41,0.078,,1.655,0.237,3.46,,7.68,3.32
8/30/2012,SB5,3,0.75,Surface,9:15,43.8386,-83.7921,sunny,1.3,22.6,291.5,4.9,29.3,7.97,1025,,<0.1,,3.83,10.12,18.91,4.22,0.62,2.54,0,,0.869,0.162,2.78,,5.17,2.15
8/30/2012,SB14,3.7,0.75,Surface,8:42,43.7373,-83.6394,sunny,1,23.4,282.5,8,13.5,7.98,207,,0.97,,12.83,20.14,18.06,3.62,,,,,2.47,0.327,5.22,,8.87,5.27
5/2/2013,SB1,3,0.75,Surface,8:23,43.6638,-83.6694,sunny,0.8,13,357.8,4.7,30.8,7.33,193,2.23,,,0.69,4.43,87,,,,,,,,,,8.3,1.07
5/2/2013,SB2,3.1,0.75,Surface,8:03,43.6662,-83.8093,sunny,1.5,13.4,384.6,2.1,59.9,7.79,223,1.27,,,0.16,0.89,63.95,,,,,,,,8.64,,3.91,0.58
5/2/2013,SB5,2.8,0.75,Surface,9:27,43.8952,-83.8605,sunny,1.2,14.2,342.9,3.1,46,7.76,1118,1.06,,,0.42,5.13,32.59,,,,,,,,3.39,,11.68,2.23
5/2/2013,SB14,3,0.75,Surface,8:48,43.7384,-83.6414,sunny,1,11.3,367.3,3.7,40,7.7,654,1.1,,,1.28,8.57,38.11,,,,,,,,4.84,,6.4,1.94
