Date,Site,"Station
Depth
(m)","Sample
Depth
(m)",Sample Depth (category),Time,"Latitude
(decimal degrees)","Longitude
(decimal degrees)",Sky,"Secchi
Depth
(m)","CTD Temperature
(°C)","CTD Specific Conductivity
(µS/cm)","CTD Beam Attenuation
(m-1)","CTD Transmission
(%)","CTD Dissolved Oxygen
(mg/L)","CTD Photosynthetically Active Radiation
(µE/m2/s)",Turbidity (NTU),Particulate Microcystin (µg/L),Dissolved Microcystin (µg/L),Extracted Phycocyanin (µg/L),"Extracted Chlorophyll a
(µg/L)",Total Phosphorus (µg/L),Total Dissolved Phosphorus (µg/L),Soluble Reactive Phosphorus (µg/L),Ammonia (µg/L),Nitrate + Nitrite (mg/L),Particulate Organic Carbon (mg/L),Particulate Organic Nitrogen (mg/L),Colored Dissolved Organic Material absorbance (m-1) at 400nm ,Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L)
5/30/2019,SB1,3.8,0.75,Surface,12:14,43.6402,-83.6616,overcast,3.5,,,,,,,1.92,<0.1,<0.1,0.54,3.04,18.65,1.5,0.69,9.33,0.489,0.4,0.06,0.84,2.1,0.49
5/30/2019,SB2,4,0.75,Surface,12:49,43.6675,-83.8071,hazy,0.75,,,,,,,9.1,<0.1,<0.1,0.44,5.5,46.54,17.36,17.19,81.08,1.988,0.51,0.07,5.12,7.36,1.09
5/30/2019,SB4,6,0.75,Surface,8:26,43.7378,-83.8771,overcast,1,,,,,,,6.19,<0.1,0.17,0.54,5.46,24.59,7.5,2.77,36.33,0.777,0.6,0.09,2.22,8.02,1.55
5/30/2019,SB5,4,0.75,Surface,9:14,43.8952,-83.8605,overcast,4,,,,,,,1.21,<0.1,<0.1,0.19,1.01,7.7,5.29,1,35.17,0.501,0.26,0.05,1.16,1.4,0.33
5/30/2019,SB14,3.7,0.75,Surface,11:32,43.7388,-83.6405,hazy,3.5,,,,,,,1.06,<0.1,<0.1,0.25,1.54,4.34,4.18,0.35,13.22,0.355,0.22,0.02,0.43,1.6,0.83
5/30/2019,SB Buoy,13.4,0.75,Surface,10:05,43.9859,-83.5953,hazy,2,,,,,,,,<0.1,0.15,0.56,4.68,,,0.87,18.95,0.601,,,1.14,2.54,1.25
5/30/2019,SB Buoy,,12.4,Bottom,,,,,,,,,,,,,,,0.36,3.46,,,,,,,,,,
6/12/2019,SB1,4.35,0.75,Surface,12:11,43.64,-83.6619,sunny,3.5,19.31,416.89,1.92,62.54,8.73,942.81,1.26,<0.1,<0.1,0.75,3.28,19.97,4.27,2.84,48.04,1.282,0.52,0.08,2.85,2.7,0.47
6/12/2019,SB2,4.66,0.75,Surface,12:50,43.669,-83.8065,partly cloudy,0.75,20.01,548.92,5.2,28.24,5.47,201.49,7.72,<0.1,<0.1,0.4,5.55,108.01,44.97,29.68,206.12,3.075,0.83,0.18,6.34,9.55,1.97
6/12/2019,SB4,6.85,0.75,Surface,9:14,43.7423,-83.8792,cloudy,3.5,18.31,339.37,1.23,73.62,8.96,376.57,0.83,<0.1,<0.1,0.72,4.7,13.12,6.36,1.9,14.23,0.633,0.62,0.07,1.29,2.75,0.12
6/12/2019,SB5,3.71,0.75,Surface,10:03,43.8897,-83.8606,cloudy,5,18.63,323.14,5.23,37.24,8.41,232.21,0.6,<0.1,<0.1,0.18,1.41,11.18,6.14,0.29,35.35,0.453,0.34,0.11,1.04,1.96,0.13
6/12/2019,SB14,4.11,0.75,Surface,11:36,43.7385,-83.6402,partly sunny,4,18.57,397.99,1.09,76.15,8.75,270.59,1.36,<0.1,<0.1,1.25,6.2,29.23,5.6,4.41,80.36,1.206,0.73,0.18,3.11,5,1.83
7/10/2019,SB1,4.38,0.75,Surface,12:43,43.6398,-83.6612,cloudy,1.25,24.05,389.88,4.59,31.77,7.5,471.21,4.54,0.25,<0.1,19.33,23.92,17.39,3.27,1.78,3.87,1.441,3.1,0.44,2.06,10.6,6.89
7/10/2019,SB2,4.65,0.75,Surface,13:16,43.6676,-83.8074,cloudy,1.25,24.53,433.68,3.05,46.64,7.51,594.04,2.48,0.12,<0.1,16.43,20.15,21.58,3.72,4.29,4.1,2.173,2,0.38,3.47,6.53,4.69
7/10/2019,SB4,6.83,0.75,Surface,8:36,43.7373,-83.8765,clear,1.25,23.87,448.68,4.55,32.65,6.39,316.86,5.59,0.12,<0.1,17.76,15.93,33.14,5.92,4.48,16.67,1.486,1.2,0.26,3.69,7.2,3.82
7/10/2019,SB5,4.03,0.75,Surface,9:32,43.8965,-83.8607,clear,1.5,23.59,321.62,2.55,52.9,7.29,425,2.45,<0.1,<0.1,9.33,12.97,12.79,2.4,2.17,5.37,0.28,1.82,0.31,1.22,6.13,5.55
7/10/2019,SB14,4.31,0.75,Surface,12:05,43.7385,-83.6406,partly cloudy,1.75,23.57,289.39,3.08,46.33,6.59,624.27,2.64,<0.1,0.2,2.63,9.67,10.08,1.87,0.27,3.49,0.359,2.04,0.37,0.67,6.03,5.44
7/10/2019,SB17,3.83,0.75,Surface,11:07,43.8832,-83.3929,partly cloudy,2.75,22.59,247.13,1.57,67.62,6.67,418.32,1.07,<0.1,<0.1,0.71,8.18,6.64,1.67,1.81,3.95,0.256,0.79,0.15,0.37,3.03,2.01
7/26/2019,SB1,4.43,0.75,Surface,10:42,43.6396,-83.6604,sunny,1,24.31,373.39,5.15,27.63,7.56,627.18,6.88,1.37,<0.1,23.28,23.27,18.25,2.46,2.31,3.96,0.759,2.66,0.35,2.21,11.72,6.48
7/26/2019,SB2,4.92,0.75,Surface,11:15,43.6678,-83.8064,sunny,1.25,24.32,403.6,3.87,37.97,7.23,577.55,5.46,1.87,<0.1,29.69,25.35,27.23,3.31,3.42,4.95,0.627,2,0.31,2.39,8.6,4.6
7/26/2019,SB4,7.06,0.75,Surface,8:26,43.7381,-83.8769,sunny,1.5,23.71,350.01,2.48,53.81,6.81,371.7,3.15,0.62,<0.1,9.72,14.11,17.7,2.57,0.96,5.3,0.518,1.24,0.21,1.47,5.52,3.48
7/26/2019,SB5,4.16,0.75,Surface,9:08,43.8958,-83.8611,sunny,1.5,23.38,358.44,2.59,52.38,7.22,512.2,2.28,1.16,<0.1,15.35,16.51,16.2,2.41,3.12,3.22,0.477,1.86,0.29,1.61,6.52,4.96
